   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX|| 
   0  T 0   1.560e+00   0e+00  0.00  2.0e+00  2.9e+05  1.0e+00  1.0e+00
   1  T 0   1.477e+00   0e+00  0.00  2.0e+00  5.8e-02  9.1e-01  1.1e+00
   2  T 0   1.418e+00   0e+00  0.00  2.0e+00  5.4e-02  6.4e-01  7.5e-01
   3  T 0   1.383e+00   0e+00  0.00  2.0e+00  4.8e-02  4.3e-01  5.1e-01
   4  T 0   1.363e+00   0e+00  0.00  2.0e+00  4.0e-02  2.8e-01  3.4e-01
   5  T 0   1.352e+00   0e+00  0.00  2.0e+00  3.2e-02  1.9e-01  2.3e-01
   6  T 0   1.346e+00   0e+00  0.00  2.0e+00  2.5e-02  1.3e-01  1.6e-01
   7  T 0   1.343e+00   0e+00  0.00  2.0e+00  1.9e-02  8.5e-02  1.1e-01
   8  T 0   1.342e+00   0e+00  0.00  2.0e+00  1.4e-02  5.8e-02  8.0e-02
   9  T 0   1.341e+00   0e+00  0.00  2.0e+00  1.0e-02  4.1e-02  5.7e-02
Total number of system evaluations: 10
